scenario_id,step,F_lateral_kN,M_base_kNm,N_cycles,freq_Hz
49,5,593.28,6224.0,1300,0.118
49,6,714.38,7494.4,1560,0.118
49,7,832.75,8736.3,1819,0.118
49,8,914.24,9591.1,2079,0.118
49,9,1051.12,11027.1,2339,0.118
49,10,1200.33,12592.4,2599,0.118
49,11,1315.78,13803.7,2859,0.118
49,12,1388.26,14564.0,3119,0.118
49,13,1509.07,15831.4,3379,0.118
49,14,1653.98,17351.6,3639,0.118
49,15,1691.39,17744.1,3899,0.118
49,16,1842.48,19329.2,4159,0.118
49,17,2008.0,21065.6,4419,0.118
49,18,2112.95,22166.6,4679,0.118
49,19,2210.54,23190.4,4938,0.118
49,20,2270.05,23814.7,5198,0.118
49,21,2429.48,25487.3,5458,0.118
49,22,2529.04,26531.8,5718,0.118
49,23,2672.43,28036.1,5978,0.118
49,24,2753.98,28891.6,6238,0.118
49,25,2863.25,30037.9,6498,0.118
49,26,2947.84,30925.3,6758,0.118
49,27,3162.2,33174.1,7018,0.118
49,28,3229.32,33878.2,7278,0.118
49,29,3361.78,35267.9,7538,0.118
50,0,0.0,0.0,0,0.197
50,1,75.86,821.5,235,0.197
50,2,177.98,1927.6,470,0.197
50,3,293.48,3178.3,705,0.197
50,4,409.82,4438.3,940,0.197
50,5,550.39,5960.7,1175,0.197
50,6,623.4,6751.4,1410,0.197
50,7,807.54,8745.7,1646,0.197
50,8,893.84,9680.3,1881,0.197
50,9,995.16,10777.5,2116,0.197
50,10,1075.19,11644.3,2351,0.197
50,11,1232.09,13343.5,2586,0.197
50,12,1288.0,13949.0,2821,0.197
50,13,1401.48,15178.0,3056,0.197
50,14,1515.4,16411.7,3291,0.197
50,15,1639.23,17752.8,3526,0.197
50,16,1745.16,18900.1,3761,0.197
50,17,1819.68,19707.1,3996,0.197
50,18,1925.82,20856.6,4231,0.197
50,19,2068.89,22406.0,4467,0.197
50,20,2179.02,23598.8,4702,0.197
50,21,2253.64,24406.9,4937,0.197
50,22,2325.71,25187.4,5172,0.197
50,23,2474.98,26804.0,5407,0.197
50,24,2607.79,28242.3,5642,0.197
50,25,2751.12,29794.6,5877,0.197
50,26,2768.9,29987.1,6112,0.197
50,27,2899.92,31406.1,6347,0.197
50,28,3008.91,32586.5,6582,0.197
50,29,3169.15,34321.8,6817,0.197
51,0,0.0,0.0,0,0.285
51,1,44.0,396.8,71,0.285
51,2,159.21,1435.5,142,0.285
51,3,201.53,1817.1,214,0.285
51,4,248.17,2237.6,285,0.285
51,5,329.34,2969.5,356,0.285
51,6,479.37,4322.2,427,0.285
51,7,510.1,4599.3,498,0.285
51,8,573.03,5166.7,569,0.285
51,9,633.52,5712.2,641,0.285
51,10,721.01,6501.0,712,0.285
51,11,791.88,7140.0,783,0.285
51,12,863.46,7785.4,854,0.285
51,13,929.36,8379.6,925,0.285
51,14,1023.21,9225.8,997,0.285
51,15,1069.06,9639.2,1068,0.285
51,16,1110.25,10010.6,1139,0.285
51,17,1192.44,10751.7,1210,0.285
51,18,1222.67,11024.2,1281,0.285
51,19,1414.07,12750.0,1352,0.285
51,20,1450.37,13077.3,1424,0.285
51,21,1470.81,13261.6,1495,0.285
51,22,1558.48,14052.1,1566,0.285
51,23,1619.06,14598.3,1637,0.285
51,24,1755.66,15830.0,1708,0.285
51,25,1738.02,15670.9,1780,0.285
51,26,1855.27,16728.1,1851,0.285
51,27,1919.81,17310.0,1922,0.285
51,28,2019.09,18205.2,1993,0.285
51,29,2062.39,18595.6,2064,0.285
52,0,0.0,0.0,0,0.197
52,1,151.01,2188.3,172,0.197
52,2,287.93,4172.3,344,0.197
52,3,478.02,6926.9,516,0.197
52,4,677.21,9813.3,688,0.197
52,5,740.54,10731.1,860,0.197
52,6,927.26,13436.8,1033,0.197
52,7,1093.24,15841.9,1205,0.197
52,8,1256.91,18213.7,1377,0.197
52,9,1449.11,20998.8,1549,0.197
52,10,1580.25,22899.0,1721,0.197
52,11,1756.47,25452.7,1893,0.197
52,12,1883.77,27297.3,2065,0.197
52,13,2067.99,29966.8,2237,0.197
52,14,2242.97,32502.4,2409,0.197
52,15,2356.21,34143.4,2581,0.197
52,16,2560.16,37098.8,2753,0.197
52,17,2696.84,39079.4,2925,0.197
52,18,2885.18,41808.5,3098,0.197
52,19,3006.32,43563.9,3270,0.197
52,20,3182.34,46114.7,3442,0.197
52,21,3328.23,48228.7,3614,0.197
52,22,3485.11,50502.0,3786,0.197
52,23,3654.31,52953.8,3958,0.197
52,24,3821.19,55372.1,4130,0.197
52,25,3926.14,56893.0,4302,0.197
52,26,4165.19,60356.9,4474,0.197
52,27,4224.93,61222.6,4646,0.197
52,28,4418.72,64030.8,4818,0.197
52,29,4594.98,66585.0,4990,0.197
53,0,12.37,158.0,0,0.183
53,1,209.68,2678.0,274,0.183
53,2,269.04,3436.2,547,0.183
53,3,471.96,6027.7,821,0.183
53,4,585.78,7481.5,1095,0.183
53,5,812.93,10382.6,1368,0.183
53,6,982.52,12548.6,1642,0.183
53,7,1184.49,15128.2,1916,0.183
53,8,1302.78,16638.9,2190,0.183
53,9,1492.88,19066.8,2463,0.183
53,10,1641.47,20964.6,2737,0.183
53,11,1773.29,22648.2,3011,0.183
53,12,1906.48,24349.2,3284,0.183
53,13,2119.39,27068.5,3558,0.183
53,14,2228.77,28465.6,3832,0.183
53,15,2474.79,31607.6,4105,0.183
53,16,2593.46,33123.4,4379,0.183
53,17,2796.58,35717.5,4653,0.183
53,18,2908.71,37149.6,4927,0.183
53,19,3093.58,39510.7,5200,0.183
53,20,3254.19,41562.0,5474,0.183
53,21,3408.95,43538.6,5748,0.183
53,22,3559.72,45464.2,6021,0.183
53,23,3746.87,47854.5,6295,0.183
53,24,3869.7,49423.3,6569,0.183
53,25,4023.6,51388.9,6842,0.183
53,26,4259.56,54402.6,7116,0.183
53,27,4406.49,56279.1,7390,0.183
53,28,4549.05,58099.8,7664,0.183
53,29,4759.42,60786.6,7937,0.183
54,0,0.0,0.0,0,0.249
54,1,129.7,1018.6,166,0.249
54,2,185.3,1455.3,332,0.249
54,3,239.3,1879.5,498,0.249
54,4,415.5,3263.4,663,0.249
54,5,479.8,3768.4,829,0.249
54,6,536.46,4213.4,995,0.249
54,7,651.92,5120.2,1161,0.249
54,8,708.01,5560.8,1327,0.249
54,9,835.01,6558.2,1493,0.249
54,10,828.42,6506.5,1658,0.249
54,11,959.58,7536.6,1824,0.249
54,12,1109.56,8714.6,1990,0.249
54,13,1162.71,9132.0,2156,0.249
54,14,1266.44,9946.7,2322,0.249
54,15,1309.83,10287.5,2488,0.249
54,16,1495.68,11747.2,2654,0.249
54,17,1565.98,12299.3,2819,0.249
54,18,1614.26,12678.5,2985,0.249
54,19,1698.15,13337.4,3151,0.249
54,20,1831.2,14382.3,3317,0.249
54,21,1949.8,15313.8,3483,0.249
54,22,2008.95,15778.4,3649,0.249
54,23,2135.51,16772.4,3814,0.249
54,24,2132.7,16750.3,3980,0.249
54,25,2225.8,17481.6,4146,0.249
54,26,2304.73,18101.5,4312,0.249
54,27,2443.67,19192.7,4478,0.249
54,28,2525.7,19837.0,4644,0.249
54,29,2605.89,20466.8,4809,0.249
55,0,24.28,326.3,0,0.318
55,1,194.25,2611.2,187,0.318
55,2,268.8,3613.2,373,0.318
55,3,453.94,6101.9,560,0.318
55,4,653.74,8787.6,747,0.318
55,5,772.38,10382.5,933,0.318
55,6,919.75,12363.4,1120,0.318
55,7,1131.54,15210.2,1306,0.318
55,8,1219.58,16393.7,1493,0.318
55,9,1406.5,18906.3,1680,0.318
55,10,1582.69,21274.7,1866,0.318
55,11,1712.9,23025.0,2053,0.318
55,12,1910.89,25686.4,2240,0.318
55,13,2027.61,27255.4,2426,0.318
55,14,2244.22,30167.0,2613,0.318
55,15,2355.47,31662.5,2800,0.318
55,16,2536.67,34098.1,2986,0.318
55,17,2696.19,36242.5,3173,0.318
55,18,2812.27,37802.8,3360,0.318
55,19,2926.77,39342.0,3546,0.318
55,20,3156.48,42429.8,3733,0.318
55,21,3305.11,44427.7,3919,0.318
55,22,3476.9,46736.9,4106,0.318
55,23,3610.72,48535.6,4293,0.318
55,24,3761.88,50567.6,4479,0.318
55,25,3992.33,53665.3,4666,0.318
55,26,4045.19,54375.8,4853,0.318
55,27,4268.66,57379.8,5039,0.318
55,28,4386.69,58966.3,5226,0.318
55,29,4551.14,61176.8,5413,0.318
56,0,0.0,0.0,0,0.112
56,1,63.34,590.6,267,0.112
56,2,192.02,1790.4,533,0.112
56,3,304.04,2834.9,800,0.112
56,4,363.87,3392.7,1067,0.112
56,5,440.31,4105.4,1333,0.112
56,6,495.05,4615.9,1600,0.112
56,7,627.59,5851.7,1867,0.112
56,8,764.22,7125.6,2134,0.112
56,9,775.55,7231.2,2400,0.112
56,10,863.13,8047.8,2667,0.112
56,11,945.02,8811.3,2934,0.112
56,12,1034.61,9646.7,3200,0.112
56,13,1054.38,9831.0,3467,0.112
56,14,1236.33,11527.5,3734,0.112
56,15,1286.25,11993.0,4000,0.112
56,16,1350.75,12594.4,4267,0.112
56,17,1509.1,14070.8,4534,0.112
56,18,1541.48,14372.7,4801,0.112
56,19,1651.22,15395.9,5067,0.112
56,20,1792.82,16716.2,5334,0.112
56,21,1793.99,16727.1,5601,0.112
56,22,1877.73,17507.9,5867,0.112
56,23,2019.23,18827.2,6134,0.112
56,24,2133.07,19888.7,6401,0.112
56,25,2138.8,19942.1,6667,0.112
56,26,2285.7,21311.8,6934,0.112
56,27,2378.34,22175.6,7201,0.112
56,28,2386.58,22252.4,7468,0.112
56,29,2559.75,23867.0,7734,0.112
57,0,26.3,349.4,0,0.196
57,1,126.76,1684.2,229,0.196
57,2,309.8,4116.2,458,0.196
57,3,442.43,5878.4,688,0.196
57,4,547.54,7275.0,917,0.196
57,5,667.02,8862.5,1146,0.196
57,6,787.49,10463.1,1375,0.196
57,7,951.66,12644.4,1604,0.196
57,8,1105.99,14695.0,1834,0.196
57,9,1215.29,16147.1,2063,0.196
57,10,1295.2,17208.9,2292,0.196
57,11,1535.3,20399.0,2521,0.196
57,12,1639.06,21777.6,2750,0.196
57,13,1758.08,23359.0,2979,0.196
57,14,1931.29,25660.4,3209,0.196
57,15,2087.43,27735.0,3438,0.196
57,16,2093.75,27818.9,3667,0.196
57,17,2326.94,30917.3,3896,0.196
57,18,2407.23,31984.1,4125,0.196
57,19,2601.11,34560.1,4355,0.196
57,20,2726.09,36220.7,4584,0.196
57,21,2877.44,38231.6,4813,0.196
57,22,2979.5,39587.7,5042,0.196
57,23,3074.39,40848.5,5271,0.196
57,24,3253.19,43224.1,5501,0.196
57,25,3415.02,45374.3,5730,0.196
57,26,3569.39,47425.3,5959,0.196
57,27,3639.89,48362.0,6188,0.196
57,28,3841.97,51046.9,6417,0.196
57,29,3927.83,52187.8,6647,0.196
58,0,10.87,143.8,0,0.14
58,1,84.83,1122.2,143,0.14
58,2,205.73,2721.5,286,0.14
58,3,327.15,4327.8,430,0.14
58,4,363.71,4811.5,573,0.14
58,5,480.25,6353.2,716,0.14
58,6,606.33,8021.0,859,0.14
58,7,772.96,10225.4,1002,0.14
58,8,775.14,10254.3,1146,0.14
58,9,962.37,12731.1,1289,0.14
58,10,1061.43,14041.6,1432,0.14
58,11,1098.51,14532.1,1575,0.14
58,12,1192.61,15777.0,1718,0.14
58,13,1280.93,16945.2,1861,0.14
58,14,1399.77,18517.4,2005,0.14
58,15,1459.75,19310.8,2148,0.14
58,16,1599.79,21163.5,2291,0.14
58,17,1747.12,23112.4,2434,0.14
58,18,1784.01,23600.4,2577,0.14
58,19,1895.25,25072.0,2721,0.14
58,20,1951.57,25817.0,2864,0.14
58,21,2113.95,27965.2,3007,0.14
58,22,2210.79,29246.3,3150,0.14
58,23,2304.9,30491.2,3293,0.14
58,24,2396.61,31704.5,3437,0.14
58,25,2494.47,32999.0,3580,0.14
58,26,2618.44,34639.0,3723,0.14
58,27,2702.64,35753.0,3866,0.14
58,28,2813.09,37214.0,4009,0.14
58,29,2910.22,38498.9,4153,0.14
59,0,33.7,232.2,0,0.274
59,1,71.7,493.9,309,0.274
59,2,108.57,747.9,618,0.274
59,3,199.73,1375.8,927,0.274
59,4,218.17,1502.9,1236,0.274
59,5,296.1,2039.8,1546,0.274
59,6,326.55,2249.5,1855,0.274
59,7,304.48,2097.5,2164,0.274
59,8,450.27,3101.8,2473,0.274
59,9,466.57,3214.1,2782,0.274
59,10,512.35,3529.4,3091,0.274
59,11,573.74,3952.3,3400,0.274
59,12,606.34,4176.9,3709,0.274
59,13,674.89,4649.1,4019,0.274
59,14,701.71,4833.9,4328,0.274
59,15,809.09,5573.6,4637,0.274
59,16,818.84,5640.8,4946,0.274
59,17,862.17,5939.2,5255,0.274
59,18,897.29,6181.1,5564,0.274
59,19,984.49,6781.8,5873,0.274
59,20,1033.43,7119.0,6182,0.274
59,21,1090.86,7514.6,6492,0.274
59,22,1099.78,7576.1,6801,0.274
59,23,1133.95,7811.5,7110,0.274
59,24,1252.15,8625.7,7419,0.274
59,25,1329.31,9157.2,7728,0.274
59,26,1305.37,8992.3,8037,0.274
59,27,1435.23,9886.9,8346,0.274
59,28,1447.46,9971.1,8655,0.274
59,29,1490.12,10265.0,8965,0.274
60,0,0.0,0.0,0,0.126
60,1,120.94,1452.6,59,0.126
60,2,354.58,4259.0,118,0.126
60,3,464.15,5575.1,177,0.126
60,4,626.5,7525.2,236,0.126
60,5,842.13,10115.1,295,0.126
60,6,918.35,11030.7,354,0.126
60,7,1091.61,13111.8,413,0.126
60,8,1299.25,15605.8,472,0.126
60,9,1471.06,17669.5,531,0.126
60,10,1639.28,19690.1,589,0.126
60,11,1778.16,21358.2,648,0.126
60,12,2025.6,24330.3,707,0.126
60,13,2105.32,25287.9,766,0.126
60,14,2267.71,27238.4,825,0.126
60,15,2413.2,28985.9,884,0.126
60,16,2603.3,31269.3,943,0.126
60,17,2780.5,33397.7,1002,0.126
60,18,2960.63,35561.4,1061,0.126
60,19,3042.32,36542.6,1120,0.126
60,20,3242.09,38942.1,1179,0.126
60,21,3425.35,41143.3,1238,0.126
60,22,3592.03,43145.4,1297,0.126
60,23,3737.09,44887.7,1356,0.126
60,24,3915.64,47032.4,1415,0.126
60,25,4037.57,48497.0,1474,0.126
60,26,4271.05,51301.4,1533,0.126
60,27,4416.57,53049.2,1592,0.126
60,28,4508.92,54158.4,1650,0.126
60,29,4679.48,56207.2,1709,0.126
61,0,0.0,0.0,0,0.266
61,1,117.46,928.7,343,0.266
61,2,155.69,1231.0,687,0.266
61,3,281.42,2225.0,1030,0.266
61,4,402.11,3179.2,1373,0.266
61,5,483.6,3823.5,1716,0.266
61,6,590.47,4668.5,2060,0.266
61,7,647.84,5122.1,2403,0.266
61,8,794.78,6283.9,2746,0.266
61,9,855.65,6765.2,3090,0.266
61,10,961.43,7601.5,3433,0.266
61,11,1075.42,8502.7,3776,0.266
61,12,1168.49,9238.6,4120,0.266
61,13,1263.24,9987.7,4463,0.266
61,14,1337.12,10571.8,4806,0.266
61,15,1447.77,11446.7,5149,0.266
61,16,1553.93,12286.1,5493,0.266
61,17,1609.73,12727.2,5836,0.266
61,18,1734.23,13711.5,6179,0.266
61,19,1856.85,14681.0,6523,0.266
61,20,1904.01,15053.9,6866,0.266
61,21,2074.15,16399.1,7209,0.266
61,22,2174.66,17193.8,7553,0.266
61,23,2196.33,17365.1,7896,0.266
61,24,2371.53,18750.3,8239,0.266
61,25,2423.61,19162.1,8582,0.266
61,26,2537.59,20063.3,8926,0.266
61,27,2607.25,20614.1,9269,0.266
61,28,2746.96,21718.7,9612,0.266
61,29,2828.57,22363.9,9956,0.266
62,0,0.0,0.0,0,0.172
62,1,100.84,804.2,44,0.172
62,2,227.77,1816.5,88,0.172
62,3,413.01,3293.7,132,0.172
62,4,560.34,4468.7,176,0.172
62,5,698.49,5570.4,220,0.172
62,6,811.21,6469.3,264,0.172
62,7,915.83,7303.7,308,0.172
62,8,1065.87,8500.2,352,0.172
62,9,1256.69,10022.0,396,0.172
62,10,1343.37,10713.3,440,0.172
62,11,1498.01,11946.5,484,0.172
62,12,1597.23,12737.8,528,0.172
62,13,1775.38,14158.6,572,0.172
62,14,1887.35,15051.5,616,0.172
62,15,2068.27,16494.3,660,0.172
62,16,2195.87,17511.9,704,0.172
62,17,2293.58,18291.1,748,0.172
62,18,2440.44,19462.4,792,0.172
62,19,2563.5,20443.7,836,0.172
62,20,2673.24,21318.9,880,0.172
62,21,2825.89,22536.3,924,0.172
62,22,2993.36,23871.8,968,0.172
62,23,3132.96,24985.1,1013,0.172
62,24,3263.45,26025.8,1057,0.172
62,25,3385.73,27001.0,1101,0.172
62,26,3558.57,28379.3,1145,0.172
62,27,3668.27,29254.2,1189,0.172
62,28,3823.25,30490.2,1233,0.172
62,29,3884.73,30980.5,1277,0.172
63,0,0.0,0.0,0,0.15
63,1,93.64,745.7,9,0.15
63,2,127.51,1015.4,17,0.15
63,3,249.01,1983.0,26,0.15
63,4,331.45,2639.5,34,0.15
63,5,473.26,3768.8,43,0.15
63,6,522.76,4163.0,51,0.15
63,7,600.87,4785.0,60,0.15
63,8,706.13,5623.2,68,0.15
63,9,777.2,6189.2,77,0.15
63,10,837.54,6669.8,86,0.15
63,11,968.55,7713.0,94,0.15
63,12,988.24,7869.8,103,0.15
63,13,1116.35,8890.1,111,0.15
63,14,1145.36,9121.0,120,0.15
63,15,1283.03,10217.4,128,0.15
63,16,1367.83,10892.7,137,0.15
63,17,1497.46,11925.0,145,0.15
63,18,1485.34,11828.5,154,0.15
63,19,1599.39,12736.7,162,0.15
63,20,1727.23,13754.8,171,0.15
63,21,1797.74,14316.2,180,0.15
63,22,1878.21,14957.1,188,0.15
63,23,1929.25,15363.5,197,0.15
63,24,2025.33,16128.7,205,0.15
63,25,2165.54,17245.2,214,0.15
63,26,2211.77,17613.4,222,0.15
63,27,2309.7,18393.3,231,0.15
63,28,2380.11,18954.0,239,0.15
63,29,2433.2,19376.8,248,0.15
64,0,28.01,343.3,0,0.334
64,1,52.18,639.6,307,0.334
64,2,143.34,1756.8,615,0.334
64,3,80.79,990.2,922,0.334
64,4,173.03,2120.5,1229,0.334
64,5,146.09,1790.4,1536,0.334
64,6,227.24,2785.0,1844,0.334
64,7,288.9,3540.7,2151,0.334
64,8,234.53,2874.4,2458,0.334
64,9,327.64,4015.4,2766,0.334
64,10,353.97,4338.2,3073,0.334
64,11,386.9,4741.7,3380,0.334
64,12,456.6,5596.0,3687,0.334
64,13,515.75,6320.9,3995,0.334
64,14,515.22,6314.4,4302,0.334
64,15,562.47,6893.5,4609,0.334
64,16,596.82,7314.5,4917,0.334
64,17,630.53,7727.6,5224,0.334
64,18,634.89,7781.0,5531,0.334
64,19,737.91,9043.5,5838,0.334
64,20,750.6,9199.1,6146,0.334
64,21,790.67,9690.2,6453,0.334
64,22,791.72,9703.1,6760,0.334
64,23,839.22,10285.3,7067,0.334
64,24,884.8,10843.9,7375,0.334
64,25,881.15,10799.1,7682,0.334
64,26,913.62,11197.1,7989,0.334
64,27,983.33,12051.3,8297,0.334
64,28,1054.11,12918.9,8604,0.334
64,29,1055.93,12941.1,8911,0.334
65,0,0.0,0.0,0,0.105
65,1,23.91,174.5,87,0.105
65,2,83.04,606.0,174,0.105
65,3,134.43,981.1,261,0.105
65,4,258.36,1885.6,348,0.105
65,5,273.38,1995.2,435,0.105
65,6,320.84,2341.6,522,0.105
65,7,373.5,2725.9,609,0.105
65,8,356.83,2604.2,697,0.105
65,9,398.47,2908.1,784,0.105
65,10,450.28,3286.3,871,0.105
65,11,571.87,4173.7,958,0.105
65,12,563.77,4114.6,1045,0.105
65,13,591.0,4313.2,1132,0.105
65,14,663.96,4845.7,1219,0.105
65,15,718.08,5240.7,1306,0.105
65,16,781.64,5704.6,1393,0.105
65,17,829.46,6053.6,1480,0.105
65,18,845.44,6170.2,1567,0.105
65,19,939.2,6854.5,1654,0.105
65,20,947.8,6917.3,1741,0.105
65,21,1010.64,7375.9,1828,0.105
65,22,1084.28,7913.4,1916,0.105
65,23,1092.77,7975.3,2003,0.105
65,24,1143.3,8344.1,2090,0.105
65,25,1226.48,8951.1,2177,0.105
65,26,1231.34,8986.7,2264,0.105
65,27,1293.88,9443.1,2351,0.105
65,28,1370.44,10001.9,2438,0.105
65,29,1463.74,10682.8,2525,0.105
66,0,18.16,91.0,0,0.209
66,1,117.11,586.6,253,0.209
66,2,221.78,1110.9,505,0.209
66,3,276.58,1385.4,758,0.209
66,4,415.18,2079.6,1010,0.209
66,5,513.74,2573.4,1263,0.209
66,6,627.21,3141.7,1515,0.209
66,7,723.98,3626.5,1768,0.209
66,8,834.81,4181.6,2020,0.209
66,9,917.0,4593.3,2273,0.209
66,10,1031.03,5164.5,2526,0.209
66,11,1095.36,5486.7,2778,0.209
66,12,1225.52,6138.7,3031,0.209
66,13,1379.77,6911.4,3283,0.209
66,14,1450.54,7265.8,3536,0.209
66,15,1543.27,7730.4,3788,0.209
66,16,1703.71,8534.0,4041,0.209
66,17,1708.93,8560.1,4293,0.209
66,18,1819.4,9113.5,4546,0.209
66,19,2006.99,10053.1,4798,0.209
66,20,2059.92,10318.2,5051,0.209
66,21,2154.19,10790.4,5304,0.209
66,22,2228.41,11162.3,5556,0.209
66,23,2380.75,11925.3,5809,0.209
66,24,2486.58,12455.4,6061,0.209
66,25,2540.34,12724.7,6314,0.209
66,26,2671.89,13383.6,6566,0.209
66,27,2768.96,13869.9,6819,0.209
66,28,2889.63,14474.3,7071,0.209
66,29,2951.3,14783.2,7324,0.209
67,0,37.56,456.4,0,0.105
67,1,157.12,1909.4,280,0.105
67,2,248.41,3018.7,561,0.105
67,3,382.46,4647.8,841,0.105
67,4,514.51,6252.5,1121,0.105
67,5,624.9,7594.0,1402,0.105
67,6,764.6,9291.7,1682,0.105
67,7,899.44,10930.4,1962,0.105
67,8,1085.59,13192.5,2242,0.105
67,9,1195.25,14525.1,2523,0.105
67,10,1324.54,16096.3,2803,0.105
67,11,1437.25,17466.0,3083,0.105
67,12,1522.28,18499.3,3364,0.105
67,13,1684.21,20467.1,3644,0.105
67,14,1844.22,22411.6,3924,0.105
67,15,1907.01,23174.6,4205,0.105
67,16,2093.5,25441.0,4485,0.105
67,17,2273.73,27631.2,4765,0.105
67,18,2365.56,28747.1,5046,0.105
67,19,2505.78,30451.1,5326,0.105
67,20,2599.56,31590.8,5606,0.105
67,21,2751.69,33439.6,5887,0.105
67,22,2830.77,34400.6,6167,0.105
67,23,3005.83,36528.0,6447,0.105
67,24,3131.24,38052.0,6727,0.105
67,25,3249.95,39494.6,7008,0.105
67,26,3410.39,41444.3,7288,0.105
67,27,3484.39,42343.6,7568,0.105
67,28,3624.6,44047.4,7849,0.105
67,29,3762.72,45726.0,8129,0.105
68,0,0.0,0.0,0,0.221
68,1,87.46,587.0,297,0.221
68,2,109.74,736.5,593,0.221
68,3,273.37,1834.8,890,0.221
68,4,324.01,2174.7,1187,0.221
68,5,387.64,2601.8,1483,0.221
68,6,458.89,3080.0,1780,0.221
68,7,557.53,3742.1,2077,0.221
68,8,665.87,4469.2,2374,0.221
68,9,742.31,4982.3,2670,0.221
68,10,785.37,5271.3,2967,0.221
68,11,861.8,5784.3,3264,0.221
68,12,987.54,6628.2,3560,0.221
68,13,1026.82,6891.9,3857,0.221
68,14,1130.94,7590.7,4154,0.221
68,15,1213.51,8144.9,4450,0.221
68,16,1299.81,8724.1,4747,0.221
68,17,1396.85,9375.5,5044,0.221
68,18,1413.87,9489.7,5340,0.221
68,19,1475.08,9900.5,5637,0.221
68,20,1596.04,10712.4,5934,0.221
68,21,1747.76,11730.7,6230,0.221
68,22,1835.03,12316.5,6527,0.221
68,23,1909.96,12819.3,6824,0.221
68,24,1929.89,12953.1,7121,0.221
68,25,1962.87,13174.5,7417,0.221
68,26,2026.69,13602.8,7714,0.221
68,27,2159.21,14492.3,8011,0.221
68,28,2252.35,15117.4,8307,0.221
68,29,2377.96,15960.5,8604,0.221
69,0,26.03,157.4,0,0.225
69,1,137.23,829.6,342,0.225
69,2,234.13,1415.3,684,0.225
69,3,362.41,2190.7,1026,0.225
69,4,529.27,3199.4,1368,0.225
69,5,672.97,4068.0,1710,0.225
69,6,794.23,4801.0,2052,0.225
69,7,881.85,5330.6,2394,0.225
69,8,1062.82,6424.5,2736,0.225
69,9,1186.49,7172.1,3078,0.225
69,10,1272.0,7689.0,3420,0.225
69,11,1411.0,8529.3,3762,0.225
69,12,1585.6,9584.7,4103,0.225
69,13,1688.32,10205.6,4445,0.225
69,14,1873.45,11324.6,4787,0.225
69,15,1971.22,11915.7,5129,0.225
69,16,2072.0,12524.9,5471,0.225
69,17,2216.7,13399.6,5813,0.225
69,18,2349.32,14201.2,6155,0.225
69,19,2455.98,14846.0,6497,0.225
69,20,2580.87,15600.9,6839,0.225
69,21,2759.7,16681.9,7181,0.225
69,22,2894.43,17496.3,7523,0.225
69,23,3017.59,18240.8,7865,0.225
69,24,3175.35,19194.4,8207,0.225
69,25,3244.05,19609.7,8549,0.225
69,26,3440.95,20799.9,8891,0.225
69,27,3494.1,21121.2,9233,0.225
69,28,3621.16,21889.3,9575,0.225
69,29,3729.16,22542.1,9917,0.225
70,0,0.0,0.0,0,0.18
70,1,115.73,853.6,104,0.18
70,2,277.47,2046.4,208,0.18
70,3,399.86,2949.0,311,0.18
70,4,487.6,3596.1,415,0.18
70,5,642.45,4738.2,519,0.18
70,6,773.93,5707.9,623,0.18
70,7,862.64,6362.1,727,0.18
70,8,1017.34,7503.1,831,0.18
70,9,1154.49,8514.6,934,0.18
70,10,1351.47,9967.3,1038,0.18
70,11,1445.05,10657.5,1142,0.18
70,12,1590.02,11726.7,1246,0.18
70,13,1656.04,12213.6,1350,0.18
70,14,1867.67,13774.4,1454,0.18
70,15,2001.73,14763.1,1557,0.18
70,16,2033.59,14998.1,1661,0.18
70,17,2203.23,16249.2,1765,0.18
70,18,2370.11,17479.9,1869,0.18
70,19,2505.41,18477.8,1973,0.18
70,20,2596.57,19150.1,2077,0.18
70,21,2738.61,20197.7,2180,0.18
70,22,2860.7,21098.1,2284,0.18
70,23,3012.78,22219.7,2388,0.18
70,24,3176.23,23425.2,2492,0.18
70,25,3248.03,23954.7,2596,0.18
70,26,3432.03,25311.8,2700,0.18
70,27,3509.4,25882.4,2803,0.18
70,28,3638.27,26832.8,2907,0.18
70,29,3819.1,28166.5,3011,0.18
71,0,27.66,243.4,0,0.133
71,1,157.12,1382.5,246,0.133
71,2,223.68,1968.2,492,0.133
71,3,380.75,3350.3,738,0.133
71,4,551.0,4848.2,984,0.133
71,5,659.13,5799.7,1230,0.133
71,6,757.25,6663.1,1475,0.133
71,7,934.79,8225.2,1721,0.133
71,8,1031.17,9073.3,1967,0.133
71,9,1238.03,10893.5,2213,0.133
71,10,1362.12,11985.3,2459,0.133
71,11,1465.47,12894.7,2705,0.133
71,12,1619.76,14252.3,2951,0.133
71,13,1712.45,15067.9,3197,0.133
71,14,1865.05,16410.6,3443,0.133
71,15,2017.99,17756.3,3689,0.133
71,16,2112.6,18588.8,3935,0.133
71,17,2229.16,19614.4,4180,0.133
71,18,2317.25,20389.5,4426,0.133
71,19,2497.48,21975.3,4672,0.133
71,20,2656.25,23372.4,4918,0.133
71,21,2791.49,24562.4,5164,0.133
71,22,2909.83,25603.6,5410,0.133
71,23,3010.04,26485.4,5656,0.133
71,24,3098.55,27264.2,5902,0.133
71,25,3274.58,28813.0,6148,0.133
71,26,3411.88,30021.2,6394,0.133
71,27,3543.2,31176.6,6640,0.133
71,28,3702.72,32580.3,6885,0.133
71,29,3875.31,34098.9,7131,0.133
72,0,3.71,36.2,0,0.194
72,1,95.91,936.0,43,0.194
